,abuseCount,helpfulNo,helpfulYes,languageCode,postedDate,productId,ratingValue,reviewText
0,0,0,6,en-US,2021-01-27T09:04:10.569Z,103839,5,The mask quality and the color is good. It fits to my face fine. 
1,0,0,0,ru-RU,2021-02-07T00:56:39.055Z,103839,5,The grandson really liked it. Comfortable mask.
2,0,0,0,en-US,2021-02-06T21:40:02.886Z,103839,4,Easy to put on & comfortable to wear.
3,0,0,0,ru-RU,2021-02-05T16:29:28.906Z,103839,4,A thin mask that is pleasant to the body. I liked the colors too
4,0,0,0,ru-RU,2021-02-05T09:43:42.367Z,103839,5,Great mask! It suited me perfectly. There is a slight smell. It looks decent. The quality is excellent.
5,0,0,0,en-US,2021-02-02T12:28:22.584Z,103839,5,"a little bigger for a small face..for me it is better kid size ...
however, it is such an extremely pleasant material...
I am very surprised and excited ..."
6,0,0,0,ru-RU,2021-02-02T12:23:53.355Z,103839,5,"Nice fabric, fits the face comfortably, does not interfere with breathing."
7,0,0,0,en-US,2021-02-01T20:59:59.034Z,103839,5,The Copper fibers in the fabric not only offers sterilization against germs but also gives protection against radiation.
8,0,0,1,ru-RU,2021-01-27T05:38:56.182Z,103839,5,"Good mask, comfortable, good air flow. There are no seams at the points of contact with the face and it is very comfortable, there is no feeling of heaviness. On an unshaven face, the mask gradually drops down during conversation or chewing due to the characteristic dynamics of the jaw, the bristles on the face act as a lever in this process. But this phenomenon is also observed when using other masks. The fabric is very soft on the face and does not cause discomfort."
9,0,0,0,en-US,2021-01-27T08:43:35.293Z,103839,5,will buy again!
10,0,0,0,he-IL,2021-01-26T18:10:13.232Z,103839,5,A very comfortable mask
11,0,0,0,en-US,2021-01-20T22:36:25.395Z,103839,5,I like the color 
12,0,0,0,en-US,2021-02-04T10:45:24.518Z,101691,4,Good
13,0,0,0,en-US,2021-02-04T09:14:18.738Z,101691,5,"Soft, breathable and stylish!  I will be buying more of these soon!"
14,0,0,0,he-IL,2021-02-03T07:35:16.416Z,101691,5,Pleasant and soft fabric. Washes easily and dries very quickly recommends
15,0,0,0,ar-SA,2021-02-02T23:34:11.526Z,101691,5,"Excellent, comfortable and great color"
16,0,0,0,en-US,2021-02-01T09:03:46.177Z,101691,4,These masks fit well and are very comfortable. There are many layers of fabric but they are still breathable. I wish they sold them separately or in a variety of solid colors.
17,0,0,0,en-US,2021-01-31T20:19:26.391Z,101691,3,my glasses fog up when I wear this mask
18,0,0,0,ja-JP,2021-01-31T05:35:34.778Z,101691,5,"It&#39;s reasonably priced, but I like the fabric and colors."
19,0,0,1,ru-RU,2021-01-26T11:05:04.115Z,101691,5,"Repeated purchase, I am satisfied with the quality. The exchange is universal, perfect for girls. The print does not change after washing. Sat down a little after washing. The quality of the tailoring is very good, the material is cotton."
20,0,0,0,en-US,2021-01-30T17:42:04.641Z,101691,5,Nice on the skin 
21,0,0,0,ru-RU,2021-01-27T04:25:50.01Z,101691,5,"I use masks every day, they wash very well, they are easy to breathe"
22,0,0,0,he-IL,2021-01-26T17:54:15.669Z,101691,5,Stunning and also a fabric that can be breathed in. I ordered from several colors and they are all great
23,0,0,0,he-IL,2021-01-26T07:56:02.708Z,101691,3,You can hardly breathe with them ... fabric does not breathe
24,0,0,0,en-US,2021-01-26T03:33:36.637Z,101691,2,"Not a fan. These look like cloth diapers, especially the pink and white splotched one looks a bit gory. But visuals  do not matter comparrd to effectiveness.  

I found the cotton to be so similar to the weave of a cloth diaper as well, a very loose weave so particles get through.  
I will not give these away because I don't want others to think they are safe. 
A bit scratchy as well.
I have worn these UNDER a medical mask when shopping indoors in ordwr to get a little more protection.  

I wish iHerb had some more reusable mask options.  
"
25,0,0,0,he-IL,2021-01-25T09:51:53.839Z,101691,5,"Comfortable, beautiful and effective masks🙏🏼"
26,0,0,0,ja-JP,2021-01-25T01:04:31.394Z,101691,5,I like it because it&#39;s easy to breathe and the cotton feels good.
27,0,0,0,ru-RU,2021-01-23T12:15:32.225Z,101691,5,"Great design, cotton, not stuffy when using"
28,0,0,0,en-US,2021-01-22T01:31:04.697Z,101691,5,"first I used disposable ones, but they made my face break out. then I found these masks and my skin can breath easily in them. and I myself can breath in them too.
easy to wash, I recommend."
